,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2020-05-25,12:00,Taipower,Cathay Life,60,91,İY 18-45
1,2020-05-25,14:00,Taiyuan Textile,Chunghua Telecom,73,50,İY 39-24
2,2020-05-24,05:00,Manawatu,Taranaki,,,
3,2020-05-23,08:00,Taranaki,Franklin Bulls,,,
4,2020-05-22,08:00,Franklin Bulls,Nelson Giants,,,
5,2020-05-17,12:00,Taiyuan Textile,Cathay Life,47,117,İY 23-49
6,2020-05-17,14:00,Chunghua Telecom,Taipower,66,61,İY 44-27
7,2020-05-16,12:00,Taipower,Taiyuan Textile,67,82,İY 33-47
8,2020-05-16,14:00,Cathay Life,Chunghua Telecom,96,49,İY 46-23
9,2020-05-15,08:00,Franklin Bulls,Canterbury Rams,,,
10,2020-05-14,12:00,Chunghua Telecom,Taipower,61,78,İY 32-31
11,2020-05-14,14:00,Cathay Life,Taiyuan Textile,114,58,İY 52-27
12,2020-05-13,12:00,Taipower,Cathay Life,35,97,İY 21-51
13,2020-05-13,14:00,Taiyuan Textile,Chunghua Telecom,83,68,İY 38-30
14,2020-05-10,05:00,Manawatu,Nelson Giants,,,
15,2020-05-10,12:00,Cathay Life,Chunghua Telecom,88,61,İY 49-23
16,2020-05-10,14:00,Taiyuan Textile,Taipower,91,87,İY 52-44
17,2020-05-09,03:00,FC Barcelona Lassa Bàsquet,UCAM Murcia,,,
18,2020-05-09,03:00,CB RETAbet Bilbao Berri Basket,Tenerife,,,
19,2020-05-09,03:00,Fuenlabrada,BC MoraBanc Andorra,,,
20,2020-05-09,03:00,CB Herbalife Gran Canaria Claret,Real Madrid,,,
21,2020-05-09,03:00,Club Joventut de Badalona,CD Saski Baskonia,,,
22,2020-05-09,03:00,Manresa,Estudiantes,,,
23,2020-05-09,03:00,Obradoiro,Zaragoza,,,
24,2020-05-09,03:00,Real Betis,Valencia,,,
25,2020-05-09,03:00,Unicaja Baloncesto Málaga,Burgos,,,
26,2020-05-09,08:00,Taranaki,Nelson Giants,,,
27,2020-05-09,12:00,Taipower,Cathay Life,65,93,İY 29-45
28,2020-05-09,14:00,Taiyuan Textile,Chunghua Telecom,69,80,İY 34-30
29,2020-05-08,22:00,Fundacion,Peixegalego,,,
30,2020-05-08,22:00,Almansa,Breogan,,,
31,2020-05-08,22:00,Caceres,Gipuzkoa,,,
32,2020-05-08,22:00,Amics Castello,Bahia San Agustin,,,
33,2020-05-08,22:00,Lleida,CB Ourense,,,
34,2020-05-08,22:00,Leyma Coruna,CB Granada,,,
35,2020-05-08,22:00,Oviedo,Melilla,,,
36,2020-05-08,22:00,Palencia,Real Canoe NC,,,
37,2020-05-08,22:00,Valladolid,Penas Huesca,,,
38,2020-05-08,03:00,Aix Maurienne,Saint Chamond,,,
39,2020-05-08,03:00,Antibes,Denain Voltair,,,
40,2020-05-08,03:00,Evreux,Hermine,,,
41,2020-05-08,03:00,Lille BC,Gries,,,
42,2020-05-08,03:00,Nancy Basket,Rouen Basket,,,
43,2020-05-08,03:00,Paris,Poitiers,,,
44,2020-05-08,03:00,Quimper,Blois 41,,,
45,2020-05-08,03:00,Saint Quentin,S'weyersheim,,,
46,2020-05-08,03:00,Vichy Clermont,Fos Provence,,,
47,2020-05-07,03:00,CD Saski Baskonia,FC Barcelona Lassa Bàsquet,,,
48,2020-05-07,03:00,Estudiantes,Club Joventut de Badalona,,,
49,2020-05-07,03:00,BC MoraBanc Andorra,Real Betis,,,
50,2020-05-07,03:00,UCAM Murcia,CB Herbalife Gran Canaria Claret,,,
51,2020-05-07,03:00,Real Madrid,CB RETAbet Bilbao Berri Basket,,,
52,2020-05-07,03:00,Burgos,Obradoiro,,,
53,2020-05-07,03:00,Zaragoza,Unicaja Baloncesto Málaga,,,
54,2020-05-07,03:00,Tenerife,Manresa,,,
55,2020-05-07,03:00,Valencia,Fuenlabrada,,,
56,2020-05-07,03:00,Neptunas,BC Nevėžis Kėdainiai,,,
57,2020-05-07,03:00,BC Juventus Utena,Pieno Pasvalys,,,
58,2020-05-07,03:00,Vilnius Rytas,Lietkabelis,,,
59,2020-05-07,03:00,BC Siauliai,BC Žalgiris Kaunas,,,
60,2020-05-07,03:00,Dzukija Alytus,BC Vytautas Prienai Birštonas,,,
61,2020-05-07,12:00,Taiyuan Textile,Cathay Life,54,92,İY 32-42
62,2020-05-07,14:00,Chunghua Telecom,Taipower,86,49,İY 43-27
63,2020-05-06,03:00,Cholet Basket,Nanterre,,,
64,2020-05-06,03:00,Dijon,Élan Sportif Chalonnais,,,
65,2020-05-06,03:00,Pau Orthez,Chorale Roanne,,,
66,2020-05-06,03:00,Gravelines,Bourg Basket,,,
67,2020-05-06,03:00,Le Portel,Chalons-Reims,,,
68,2020-05-06,03:00,Levallois,Boulazac,,,
69,2020-05-06,03:00,AS Monaco,Limoges Cercle Saint-Pierre,,,
70,2020-05-06,03:00,Orleans,Asvel,,,
71,2020-05-06,03:00,SIG Basket Strasbourg,Le Mans,,,
72,2020-05-06,12:00,Taipower,Taiyuan Textile,58,80,İY 28-39
73,2020-05-06,14:00,Cathay Life,Chunghua Telecom,90,72,İY 50-34
74,2020-05-04,03:00,BC Žalgiris Kaunas,Dzukija Alytus,,,
75,2020-05-04,01:00,Toyama Grouses,Dolphins,,,
76,2020-05-04,09:05,Yokohama BC,Kyoto Hannaryz,,,
77,2020-05-03,17:30,Anadolu Efes Spor Kulübü,Pınar Karşıyaka Spor Kulübü,,,
78,2020-05-03,17:00,Çorlu Bld.,Ege Üniversitesi Gençlik,,,
