,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2020-04-05,13:00,Büyükçekmece,Bahçeşehir Koleji Spor Kulübü,,,
1,2020-04-05,15:15,Bandırma BİK,Galatasaray,,,
2,2020-04-05,17:30,Beşiktaş,Darüşşafaka Spor Kulübü,,,
3,2020-04-05,20:00,Anadolu Efes Spor Kulübü,M.Y. Afyon Bld,,,
4,2020-04-05,18:30,Sigortam.net,Fethiye Belediye Basketbol Kulübü,,,
5,2020-04-05,13:00,Beşiktaş (K),Çukurova (K),,,
6,2020-04-05,13:00,Çankaya Üniversitesi Spor Kulübü,İzmit Belediye spor Kulübü,,,
7,2020-04-05,15:30,Hatay Büyükşehir Belediye Spor Kulübü,Orman G. (K),,,
8,2020-04-05,14:00,Mersin Üniversitesi Basketbol Kulübü,Bayrakli Belediyesi Spor Kulübü,,,
9,2020-04-05,14:00,Fenerbahçe Gelişim Koleji Spor Kulübü,Mardin BŞB (K),,,
10,2020-04-05,17:00,Bosna Basket Spor Kulübü,Edremit Belediyesi Gürespor Kulübü,,,
11,2020-04-05,05:00,Sacramento,LA Lakers,,,
12,2020-04-05,20:00,Charlotte,Atlanta,,,
13,2020-04-05,20:00,Philadelphia,Orlando,,,
14,2020-04-05,22:30,Boston,Milwaukee,,,
15,2020-04-05,13:30,FC Barcelona Lassa Bàsquet,Zaragoza,,,
16,2020-04-05,13:30,Unicaja Baloncesto Málaga,Fuenlabrada,,,
17,2020-04-05,18:00,Valencia,Manresa,,,
18,2020-04-05,19:30,Real Madrid,Estudiantes,,,
19,2020-04-05,21:00,Burgos,CD Saski Baskonia,,,
20,2020-04-05,19:15,Virtus Bologna,Vanoli,,,
21,2020-04-05,19:15,Dinamo Sassari,Enel Brindisi,,,
22,2020-04-05,19:15,Varese,Cantu,,,
23,2020-04-05,19:15,Pistoia,Brescia,,,
24,2020-04-05,19:15,Olimpia Milano,Pesaro,,,
25,2020-04-05,19:15,Trento,F. Bologna,,,
26,2020-04-05,19:15,Trieste,Virtus Bologna,,,
27,2020-04-05,19:15,Reggio Emilia,Uni Treviso,,,
28,2020-04-05,03:00,ALBA Berlin,Riesen,,,
29,2020-04-05,03:00,FC Bayern München,Mitteldeutsche,,,
30,2020-04-05,03:00,Telekom Basket,BG Göttingen,,,
31,2020-04-05,03:00,Würzburg,Rasta Vechta,,,
32,2020-04-05,12:00,BC Astana,BC UNICS Kazan,,,
33,2020-04-05,17:00,Nizhny,BC Avtodor Saratov,,,
