,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2021-01-30,13:00,FruttiEx Bursa,Petkim Spor,95,89,İY 53-42
1,2021-01-30,15:15,M.Y. Afyon Bld,Darüşşafaka Spor Kulübü,80,79,İY 38-34
2,2021-01-30,17:30,Galatasaray,Fethiye Belediye Basketbol Kulübü,71,68,İY 43-32
3,2021-01-30,14:00,Kocaeli,Balıkesir BŞB,94,79,İY 54-39
4,2021-01-30,15:45,Ankara Anadolu,Sigortam.net,62,79,İY 32-46
5,2021-01-30,17:30,Bornova Belediye Spor Kulübü,Samsunspor,80,82,İY 42-49
6,2021-01-30,14:00,Bursa Büyükşehir Belediyesi Spor Kulübü,Sakarya Y. (K),,,
7,2021-01-30,14:00,Bodrum Karya Spor Kulübü,Emlak Konut(K),62,68,İY 36-34
8,2021-01-30,14:00,Antalya 07 (K),Botaş G. (K),78,57,İY 56-22
9,2021-01-30,14:30,Yalova VIP Gençlik Spor Kulübü,Ceyhan Bld.(K),91,64,İY 50-24
10,2021-01-30,16:00,Düzce Belediye Gençlik ve Spor Kulübü,Fenerbahçe Gelişim Koleji Spor Kulübü,70,74,İY 41-34
11,2021-01-30,16:00,İstanbul Üniversitesi Basketbol Kulübü,Karşıyaka (K),75,67,İY 33-29
12,2021-01-30,03:00,Charlotte,Indiana,108,105,İY 64-60
13,2021-01-30,03:00,Washington,Atlanta,100,116,İY 50-61
14,2021-01-30,03:30,New York,Cleveland,102,81,İY 47-33
15,2021-01-30,03:30,Toronto,Sacramento,124,126,İY 58-68
16,2021-01-30,03:30,New Orleans,Milwaukee,131,126,İY 68-45
17,2021-01-30,04:00,Orlando,LA Clippers,90,116,İY 48-62
18,2021-01-30,04:00,Minnesota,Philadelphia,94,118,İY 48-53
19,2021-01-30,04:00,Oklahoma,Brooklyn,125,147,İY 59-76
20,2021-01-30,04:30,San Antonio,Denver,119,109,İY 61-55
21,2021-01-30,06:00,Utah,Dallas,120,101,İY 61-45
22,2021-01-30,20:00,Club Joventut de Badalona,Fuenlabrada,80,75,İY 31-28
23,2021-01-30,20:00,Obradoiro,CB RETAbet Bilbao Berri Basket,80,72,İY 42-37
24,2021-01-30,22:45,BC MoraBanc Andorra,Tenerife,83,89,İY 41-43
25,2021-01-30,22:00,Vanoli,Virtus Bologna,75,88,İY 35-42
26,2021-01-30,19:00,Bourg Basket,Orleans,88,82,İY 42-43
27,2021-01-30,20:00,Pau Orthez,Chalons-Reims,86,97,İY 40-46
28,2021-01-30,20:00,AS Monaco,Le Portel,82,60,İY 44-31
29,2021-01-30,20:30,Chorale Roanne,Levallois,80,67,İY 39-36
30,2021-01-30,20:00,Mitteldeutsche,Ratiopharm Ulm,92,104,İY 52-51
31,2021-01-30,20:00,Chemnitz 99,Medi Bayreuth,61,83,İY 30-40
32,2021-01-30,22:30,Riesen,Giessen 46ers,99,85,İY 50-44
33,2021-01-30,22:30,Oldenburg,Würzburg,124,84,İY 64-41
34,2021-01-30,15:45,BC Tsmoki-Minsk,BC UNICS Kazan,66,76,İY 36-41
35,2021-01-30,09:30,Bullets,Cairns Taipans,105,103,İY 40-55
36,2021-01-30,12:00,Adelaide 36ers,Sydney Kings,85,80,İY 43-36
37,2021-01-30,00:00,Purple Eagles,Hawks,67,77,İY 26-41
38,2021-01-30,00:00,Eagles,Cougars,94,61,İY 47-26
39,2021-01-30,01:00,Penguins,Titans,75,78,İY 41-44
40,2021-01-30,01:00,Bobcats,Ragin Cajuns,60,62,İY 24-31
41,2021-01-30,02:00,Kennesaw State,Bellarmine Knights,67,84,İY 26-50
42,2021-01-30,02:00,Norse,Flames,72,68,İY 32-23
43,2021-01-30,02:00,Marshall Herd,Owls,,,
44,2021-01-30,02:00,Presbyterian,Lancers,45,49,İY 15-23
45,2021-01-30,02:00,Charlotte 49ers,Gold. Panthers,63,55,İY 22-23
46,2021-01-30,02:00,Winthrop,UNC Asheville,55,57,İY 25-26
47,2021-01-30,02:00,IUPUI,Panthers,73,68,İY 40-34
48,2021-01-30,02:30,Richmond,Saint Louis,,,
49,2021-01-30,03:00,Gardner-Webb,High Point,55,59,İY 25-31
50,2021-01-30,03:00,Hawks,Stags,,,
51,2021-01-30,03:00,North Florida,Lions,78,82,İY 31-38
52,2021-01-30,03:00,Jacksonville,Liberty Flames,54,59,İY 22-22
53,2021-01-30,03:00,Red Wolves,Mavericks,83,75,İY 26-35
54,2021-01-30,03:00,Long Beach,Tritons,,,
55,2021-01-30,03:00,Trojans,Mountaineers,71,62,İY 37-30
56,2021-01-30,03:00,JM Dukes,Cougars,,,
57,2021-01-30,03:00,Cal Poly,CSU Northridge,76,70,İY 29-33
58,2021-01-30,03:00,Catamounts,Bulldogs,,,
59,2021-01-30,03:00,Bulls,Bobcats,75,76,İY 32-41
60,2021-01-30,03:00,UC Davis,Santa Barbara,51,72,İY 16-36
61,2021-01-30,03:00,Vikings,Phoenix,74,68,İY 39-38
62,2021-01-30,03:00,NIU,Eagles,,,
63,2021-01-30,03:00,Florida Eagles,Stetson,64,63,İY 31-35
64,2021-01-30,03:00,M. Wolverines,I. Hoosiers,,,
65,2021-01-30,03:30,Campbell,Buccaneers,59,58,İY 31-26
66,2021-01-30,03:30,Mastadons,Grizzlies,66,81,İY 27-31
67,2021-01-30,03:30,Trojans,Warhawks,66,62,İY 36-31
68,2021-01-30,04:00,N. Arizona,N. Colorado,68,64,İY 28-30
69,2021-01-30,04:00,Coyotes,Mavericks,91,59,İY 54-20
70,2021-01-30,04:00,Wolverines,Tarleton State Texans,73,60,İY 38-28
71,2021-01-30,04:00,Kangaroos,Bison,67,71,İY 27-28
72,2021-01-30,04:00,Peacocks,Jaspers,59,55,İY 21-24
73,2021-01-30,04:30,Hawks,Leathernecks,83,81,İY 29-41
74,2021-01-30,04:30,Eagles,C. Carolina,62,79,İY 25-38
75,2021-01-30,05:00,Pioneers,Jackrabbits,,,
76,2021-01-30,05:00,Antelopes,Aggies,70,62,İY 37-30
77,2021-01-30,05:00,Raiders,Colonials,79,70,İY 31-28
78,2021-01-30,05:00,Illinois,Iowa Hawkeyes,80,75,İY 43-41
79,2021-01-30,05:00,Lancers,Trailblazers,89,74,İY 41-35
80,2021-01-30,07:00,Roadrunners,CSU Fullerton,84,90,İY 30-32
81,2021-01-30,07:00,Rams,Broncos,77,85,İY 39-38
82,2021-01-30,07:59,Warriors,UC Irvine,51,53,İY 22-25
83,2021-01-30,20:00,Georgetown,Providence,73,72,İY 38-42
84,2021-01-30,20:00,Sooners,Crimson Tide,66,61,İY 32-29
85,2021-01-30,20:00,Midshipmen,Greyhounds,70,52,İY 38-16
86,2021-01-30,20:00,Kansas State,Texas A&M,61,68,İY 23-24
87,2021-01-30,20:00,Duke Blue,Clemson,79,53,İY 41-22
88,2021-01-30,20:00,Louisville,Boston College,,,
89,2021-01-30,20:00,East Carolina,Gold Hurricane,68,77,İY 35-37
90,2021-01-30,21:00,Retrievers,Black Bears,,,
91,2021-01-30,21:00,Seahawks,Hofstra Pride,73,82,İY 36-39
92,2021-01-30,21:00,Towson,WM Tribe,74,84,İY 29-44
93,2021-01-30,21:00,Drexel Dragons,Northeastern,,,
94,2021-01-30,21:00,Catamounts,Paladins,69,75,İY 28-33
95,2021-01-30,21:00,VCU Rams,La Salle,73,62,İY 33-30
96,2021-01-30,21:00,Red Foxes,Saints,55,54,İY 27-22
97,2021-01-30,22:00,Eagles,Leopards,,,
98,2021-01-30,22:00,Bonaventure,George Mason,84,67,İY 44-26
99,2021-01-30,22:00,Colonials,Fordham Rams,,,
100,2021-01-30,22:00,Mountaineers,Pioneers,58,61,İY 25-30
101,2021-01-30,22:00,Stony Brook,Hartford Hawks,57,59,İY 28-22
102,2021-01-30,22:00,Redhawks,Broncos,65,56,İY 25-21
103,2021-01-30,22:00,Aggies,Rattlers,70,58,İY 35-22
104,2021-01-30,22:00,Binghamton,New Hampshire,65,44,İY 35-29
105,2021-01-30,22:00,Paladins,Mocs,,,
106,2021-01-30,22:00,Zips,Cardinals,74,42,İY 34-16
107,2021-01-30,22:00,West Virginia,Gators,80,85,İY 42-37
108,2021-01-30,22:00,Delaware,Pheonix,66,43,İY 36-20
109,2021-01-30,22:00,Idaho State,Thunderbirds,,,
110,2021-01-30,22:00,Tigers,Red Raiders,71,76,İY 33-32
111,2021-01-30,22:00,Missouri,Frogs,102,98,İY 38-43
112,2021-01-30,22:00,Eagles,Eagles,55,74,İY 32-39
113,2021-01-30,22:00,Mountain Hawks,Bison,70,84,İY 43-43
114,2021-01-30,22:00,Crusaders,Raiders,63,74,İY 26-36
115,2021-01-30,22:00,George Mason,Massachusetts,,,
116,2021-01-30,22:00,Wake Forest,Hurricanes,66,54,İY 34-24
117,2021-01-30,22:30,Buffaloes,Utes,74,77,İY 43-36
118,2021-01-30,23:00,Penn State,Wisconsin,81,71,İY 31-34
119,2021-01-30,23:00,Eagles,Bears,76,79,İY 36-33
120,2021-01-30,23:00,Vandals,Weber State,62,81,İY 35-45
121,2021-01-30,23:00,Bulldogs,Southern Miss,65,62,İY 32-30
122,2021-01-30,23:00,Cardinals,Wildcats,67,75,İY 31-29
123,2021-01-30,23:00,IUPUI,Panthers,76,83,İY 35-29
124,2021-01-30,23:00,Lipscomb,Bluefield State,89,56,İY 41-35
125,2021-01-30,23:30,Seton Hall,Villanova,72,80,İY 27-37
126,2021-01-30,15:00,Darıca Gençlerbirliği,Altınel Spor Kulübü,108,64,İY 47-34
127,2021-01-30,15:00,Erzurum Büyükşehir Belediye Gençlik Spor Kulübü,Saray Belediyespor,76,68,İY 43-37
