,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2020-09-02,03:30,Denver,Utah,80,78,İY 50-36
1,2020-09-02,00:30,Toronto,Boston,99,102,İY 48-50
2,2020-09-02,02:00,LIberty (K),Sun (K),65,70,İY 32-29
3,2020-09-02,03:00,Dream (K),Fever (K),102,90,İY 43-38
4,2020-09-02,05:00,Aces (K),Mercury (K),85,92,İY 45-52
5,2020-09-02,20:00,Start Lublin,Polski Torun,82,73,İY 36-31
6,2020-09-02,20:30,BK Dnipro,Bahçeşehir Koleji Spor Kulübü,70,97,İY 33-44
7,2020-09-02,19:00,Uni Treviso,Trieste,77,81,İY 36-41
8,2020-09-02,21:00,Trento,Venezia,73,77,İY 30-32
9,2020-09-02,12:00,Luxgen Dinos,Bank of Taiwan,92,87,İY 36-35
10,2020-09-02,14:00,Kinmen,Taiwan Beer,81,70,İY 33-36
11,2020-09-02,18:00,Handlova,Turi Svitavy,67,87,İY 31-44
12,2020-09-02,18:30,Pardubice,Inter,84,85,İY 50-44
13,2020-09-01,04:00,Oklahoma,Houston,104,100,İY 48-51
14,2020-09-01,01:30,Milwaukee,Miami,104,115,İY 63-60
15,2020-09-01,01:00,Fever (K),Sky (K),77,100,İY 37-50
16,2020-09-01,05:00,Lynx (K),Sparks (K),96,78,İY 49-40
17,2020-09-01,20:00,Cantu,Olimpia Milano,62,102,İY 31-54
18,2020-09-01,20:30,Brescia,Varese,89,88,İY 47-51
19,2020-09-01,21:30,F. Bologna,Vanoli,96,77,İY 50-45
20,2020-09-01,21:45,Virtus Bologna,Reggio Emilia,79,75,İY 34-22
21,2020-09-01,12:00,Kinmen,Luxgen Dinos,64,73,İY 31-33
22,2020-09-01,14:00,Taiwan Beer,Bank of Taiwan,74,70,İY 32-42
23,2020-08-31,03:30,Utah,Denver,107,119,İY 56-61
24,2020-08-31,01:00,Lynx (K),Mercury (K),79,83,İY 36-51
25,2020-08-31,03:00,Sparks (K),Dream (K),84,79,İY 37-38
26,2020-08-31,18:35,KK Anwil,Stal Ostrow,90,71,İY 52-39
27,2020-08-31,12:00,Luxgen Dinos,Taiwan Beer,85,60,İY 42-27
28,2020-08-31,14:00,Bank of Taiwan,Kinmen,81,79,İY 32-46
29,2020-08-30,01:30,Houston,Oklahoma,114,80,İY 48-45
30,2020-08-30,04:00,LA Lakers,Portland,131,122,İY 68-68
31,2020-08-30,22:30,Dallas,LA Clippers,97,111,İY 51-57
32,2020-08-30,20:00,Toronto,Boston,94,112,İY 42-59
33,2020-08-30,23:00,Mystics (K),Sun (K),63,76,İY 28-39
34,2020-08-30,16:05,Legia Warszawa,KS ROSA Radom,79,57,İY 41-28
35,2020-08-30,19:00,Venezia,Uni Treviso,89,75,İY 46-43
36,2020-08-30,21:00,Trieste,Trento,86,83,İY 48-44
37,2020-08-30,20:00,BC MoraBanc Andorra,Manresa,74,92,İY 33-49
38,2020-08-29,22:30,Milwaukee,Orlando,118,104,İY 67-50
39,2020-08-29,02:00,Dream (K),Lynx (K),79,88,İY 43-51
40,2020-08-29,03:00,Sun (K),Sparks (K),76,80,İY 39-32
41,2020-08-29,05:00,Mercury (K),Mystics (K),94,72,İY 33-41
42,2020-08-29,19:00,Aces (K),LIberty (K),80,63,İY 39-35
43,2020-08-29,21:00,Sky (K),Storm (K),74,88,İY 34-49
44,2020-08-29,23:00,Fever (K),Wings (K),78,82,İY 37-44
45,2020-08-29,16:05,Trefl Sopot,Zielona Gora,71,76,İY 42-36
46,2020-08-29,18:30,Wilki Morskie,D. Gornicza,73,67,İY 31-32
47,2020-08-29,19:00,Varese,Olimpia Milano,77,110,İY 41-59
48,2020-08-29,21:00,Cantu,Brescia,75,76,İY 46-32
49,2020-08-29,20:00,Vanoli,Virtus Bologna,66,87,İY 32-38
50,2020-08-29,21:45,Reggio Emilia,F. Bologna,90,85,İY 45-45
51,2020-08-29,18:00,Levicki,Helios Domzale,79,72,İY 37-38
52,2020-08-29,19:30,UCAM Murcia,FC Barcelona Lassa Bàsquet,84,89,İY 41-40
53,2020-08-29,20:00,Prievidza,Iskra Svit,73,83,İY 37-38
54,2020-08-29,20:30,Brno,Atomerömü,98,85,İY 46-40
55,2020-08-28,18:35,Slask Wroclaw,Astoria,90,66,İY 46-35
