,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2020-07-14,11:00,GS Tigers,GZ Long-Lions,121,99,İY 69-40
1,2020-07-14,14:35,Bayi Rockets,Zhejiang Lions,105,113,İY 49-56
2,2020-07-14,15:00,SJ Whale,SH Sharks,78,88,İY 37-37
3,2020-07-14,08:30,Franklin Bulls,Auckland Huskies,82,86,İY 46-42
4,2020-07-14,10:30,Taranaki,O. Nuggets,106,105,İY 61-49
5,2020-07-13,17:00,H. Be'er Sheva,Maccabi Haifa,83,87,İY 42-42
6,2020-07-13,17:00,Ashdod,H. Tel Aviv,106,105,İY 48-53
7,2020-07-13,17:00,Hapoel Elyon,Ironi N. Ziona,90,82,İY 46-47
8,2020-07-13,06:00,Beijing Ducks,Shanxi Dragons,111,91,İY 60-45
9,2020-07-13,10:30,Tongxi King,SD Tigers,110,125,İY 49-71
10,2020-07-13,11:00,Tianjin,LF Leopards,78,133,İY 38-73
11,2020-07-13,14:35,Xinjiang Tiger,SH Leopards,122,86,İY 57-41
12,2020-07-13,15:00,QD Eagles,JS Dragons,85,114,İY 41-43
13,2020-07-12,19:25,H. Jerusalem,Hapoel Holon,102,67,İY 56-38
14,2020-07-12,21:15,M. Tel Aviv,Rishon LeZion,77,86,İY 43-39
15,2020-07-12,11:00,GS Tigers,Bayi Rockets,116,108,İY 57-52
16,2020-07-12,14:35,BF Dragons,SH Sharks,104,97,İY 56-43
17,2020-07-12,15:00,Jilin Tigers,ZJ Gold Bulls,88,95,İY 33-48
18,2020-07-12,08:30,Manawatu,Auckland Huskies,105,100,İY 54-43
19,2020-07-12,10:30,O. Nuggets,Nelson Giants,87,79,İY 41-38
20,2020-07-11,21:00,H. Tel Aviv,Ironi Nahariya,77,73,İY 31-41
21,2020-07-11,07:00,Tongxi King,Tianjin,116,107,İY 58-57
22,2020-07-11,10:30,Fujian Xunxing,GZ Long-Lions,123,111,İY 66-42
23,2020-07-11,11:00,Zhejiang Lions,SJ Whale,91,76,İY 38-37
24,2020-07-11,14:35,SH Leopards,QD Eagles,74,81,İY 29-47
25,2020-07-11,15:00,LF Leopards,SD Tigers,123,98,İY 54-32
26,2020-07-11,08:00,Canterbury Rams,Franklin Bulls,,,
27,2020-07-11,08:30,O. Nuggets,Manawatu,130,94,İY 57-56
28,2020-07-11,10:30,Canterbury Rams,Taranaki,92,97,İY 54-44
29,2020-07-10,14:00,Ironi N. Ziona,Ashdod,99,97,İY 58-47
30,2020-07-10,14:00,Hapoel Eilat,H. Be'er Sheva,84,88,İY 43-33
31,2020-07-10,16:00,Maccabi Haifa,Hapoel Elyon,80,81,İY 43-44
32,2020-07-10,10:30,Xinjiang Tiger,Shanxi Dragons,104,71,İY 59-26
33,2020-07-10,11:00,JS Dragons,Bayi Rockets,83,94,İY 46-38
34,2020-07-10,14:35,SH Sharks,GS Tigers,89,122,İY 47-62
35,2020-07-10,15:00,Beijing Ducks,Jilin Tigers,91,64,İY 46-29
