,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2020-10-22,20:00,BC Žalgiris Kaunas,Valencia,82,94,İY 45-37
1,2020-10-22,21:00,Panathinaikos BC Superfoods,Fenerbahçe,82,68,İY 37-30
2,2020-10-22,21:45,KK Crvena Zvezda,PBK CSKA Moskva,86,84,İY 35-43
3,2020-10-22,18:00,BC Avtodor Saratov,BC Astana,107,85,İY 50-38
4,2020-10-22,18:00,Primorska,Cedevita,65,102,İY 39-54
5,2020-10-22,18:35,Asseco Gdynia,Starogard,92,90,İY 39-50
6,2020-10-22,07:00,GZ Long-Lions,JS Dragons,92,73,İY 51-40
7,2020-10-22,14:35,SH Sharks,SJ Whale,102,90,İY 58-45
8,2020-10-22,15:00,Beijing Ducks,SH Leopards,92,78,İY 47-35
9,2020-10-22,20:30,H. Tel Aviv,Hapoel Haifa,90,94,İY 47-49
10,2020-10-22,17:30,Los Toros,Keila KK,90,71,İY 47-42
11,2020-10-22,19:30,Tartu II,Rae Koss/Hansaviimistlus,64,70,İY 37-29
12,2020-10-22,17:30,Helmi HBA (K),Pyrintö (K),73,72,İY 31-35
13,2020-10-22,13:00,KT Sonicboom,Anyang KGC,89,93,İY 36-30
14,2020-10-22,18:00,Vilkaviskio Perlas,BC Jonava,67,72,İY 32-39
15,2020-10-22,18:00,BC Telsiai,Joniskis,68,57,İY 40-29
16,2020-10-22,18:00,BC Ezerünas,BC Silute,71,99,İY 34-47
17,2020-10-22,13:00,Avtodor U21,Parma,80,71,İY 40-33
18,2020-10-22,15:00,MBA Moskva Under 21,CSKA U21,78,70,İY 38-35
19,2020-10-22,14:00,Sparta&K II(K),Black Bears(K),49,59,İY 25-31
20,2020-10-22,18:30,Moskova II (K),Rostov Don (K),74,82,İY 45-38
21,2020-10-22,19:00,Dynamo Odessa,BK Budivelnyk,86,69,İY 46-36
22,2020-10-21,14:00,Orman G. (K),Fenerbahçe Spor Kulübü,64,72,İY 31-47
23,2020-10-21,14:00,Elazığ İl Özel İdare Basketbol,Adana BK,68,56,İY 35-33
24,2020-10-21,14:00,Samsun Canik Belediye Spor Kulübü,Galatasaray Spor Kulübü,45,102,İY 25-50
25,2020-10-21,16:00,Beşiktaş (K),İzmit Belediye spor Kulübü,74,95,İY 32-47
26,2020-10-21,16:00,Çukurova (K),Çankaya Üniversitesi Spor Kulübü,76,67,İY 28-37
27,2020-10-21,21:30,Dinamo Sassari,Galatasaray,93,84,İY 44-30
28,2020-10-21,19:30,Start Lublin,Zaragoza,85,86,İY 38-44
29,2020-10-21,20:00,KK Budućnost VOLI,Ratiopharm Ulm,73,68,İY 37-33
30,2020-10-21,21:45,Unicaja Baloncesto Málaga,Brescia,86,69,İY 41-35
31,2020-10-21,19:00,Lietkabelis,Antwerp,80,73,İY 42-35
32,2020-10-21,19:30,L. Kuban,BC MoraBanc Andorra,76,61,İY 37-27
33,2020-10-21,22:00,Virtus Bologna,AS Monaco,94,85,İY 41-41
34,2020-10-21,19:15,Promitheas,Nanterre,88,72,İY 46-44
35,2020-10-21,20:00,FruttiEx Bursa,CB Herbalife Gran Canaria Claret,76,94,İY 33-53
36,2020-10-21,21:00,Le Portel,Chalons-Reims,78,76,İY 46-26
37,2020-10-21,18:00,Krka,Igokea,69,70,İY 41-43
38,2020-10-21,20:55,Stal Ostrow,Wilki Morskie,91,59,İY 43-30
39,2020-10-21,07:00,Tongxi King,Tianjin,92,83,İY 54-42
40,2020-10-21,14:35,LF Leopards,SD Tigers,110,100,İY 52-54
41,2020-10-21,15:00,Xinjiang Tiger,BF Dragons,123,92,İY 68-35
42,2020-10-21,13:05,Levanga,Akita NH,104,79,İY 58-36
43,2020-10-21,13:05,Toyota Alvark,Tochigi Brex,75,80,İY 32-39
44,2020-10-21,13:05,Sun Rockers,Brave Thunders,87,95,İY 49-45
45,2020-10-21,13:05,Yokohama BC,Chiba Jets,57,79,İY 25-37
46,2020-10-21,13:05,Niigata Abirex,Toyama Grouses,67,97,İY 36-47
47,2020-10-21,13:05,NeoPhoenix,Shinshu BW,79,83,İY 36-42
48,2020-10-21,13:05,Dolphins,H. Dragonflies,81,76,İY 33-33
49,2020-10-21,13:05,Kyoto Hannaryz,SeaHorses,82,99,İY 38-50
50,2020-10-21,13:05,Shimane SM,Osaka Evessa,85,99,İY 38-46
51,2020-10-21,13:15,Shiga L-Stars,Ryukyu,77,89,İY 31-42
52,2020-10-21,20:30,St. Pölten,BC Hallmann,75,73,İY 28-39
53,2020-10-21,19:00,MBA Moskva,Burevestnik,63,78,İY 23-36
54,2020-10-21,19:00,Beroe,Bultex 99,85,86,İY 41-50
55,2020-10-21,19:00,BC Kalev Cramo,Tallinna Kalev,98,88,İY 47-34
56,2020-10-21,18:30,BK RGUOR Minsk,Brest,94,102,İY 48-43
57,2020-10-21,18:30,Impuls,Grodno-93,70,87,İY 27-39
58,2020-10-21,02:00,São Paulo Futebol Clube,Aerco Osasco,114,67,İY 54-20
59,2020-10-21,18:30,Seagulls,Kouvot,93,71,İY 58-35
60,2020-10-21,13:00,Jeonju KCC,Seoul Knights,90,80,İY 42-41
61,2020-10-21,21:00,CD Ibaeta,Araski (K),59,53,İY 32-25
62,2020-10-21,21:30,P. Avenida (K),AE Sedis (K),70,50,İY 38-33
63,2020-10-21,21:30,Valencia (K),Bembibre (K),92,53,İY 46-33
64,2020-10-21,22:00,Estudiantes(K),Zamarat (K),97,51,İY 49-29
65,2020-10-21,22:00,Gernika (K),Al Qazeres (K),86,60,İY 49-35
66,2020-10-21,22:00,Clarinos (K),UNI Girona (K),48,80,İY 19-42
67,2020-10-21,19:00,Handlova,Lucenec,74,73,İY 35-27
68,2020-10-21,19:00,Iskra Svit,Levicki,94,74,İY 53-35
69,2020-10-21,20:00,KK Rogaska,Jezica,85,69,İY 45-33
70,2020-10-20,16:00,Kayseri BB (K),Nesibe Aydın Spor Kulübü,62,70,İY 30-39
71,2020-10-20,21:30,Tenerife,Bakken Bears,98,73,İY 48-35
72,2020-10-20,21:30,Dijon,K. Strovolou,91,79,İY 30-34
73,2020-10-20,19:00,Bahçeşehir Koleji Spor Kulübü,Partizan,76,82,İY 39-38
74,2020-10-20,21:45,Club Joventut de Badalona,Venezia,92,78,İY 45-45
75,2020-10-20,19:00,Levallois,KK Mornar,78,65,İY 39-33
76,2020-10-20,21:00,Trento,Cedevita,61,51,İY 30-22
77,2020-10-20,20:00,FC Barcelona Lassa Bàsquet,Gipuzkoa,87,60,İY 44-31
78,2020-10-20,22:15,Real Madrid,Obradoiro,84,77,İY 40-44
79,2020-10-20,18:30,Dzukija Alytus,Pieno Pasvalys,76,84,İY 32-39
80,2020-10-20,06:00,GZ Long-Lions,QD Eagles,88,112,İY 40-59
81,2020-10-20,06:00,SH Leopards,GS Tigers,126,134,İY 63-53
82,2020-10-20,10:30,Jilin Tigers,JS Dragons,110,92,İY 54-42
83,2020-10-20,10:30,Fujian Xunxing,SJ Whale,79,89,İY 37-52
84,2020-10-20,15:00,SH Sharks,Shanxi Dragons,95,88,İY 37-44
85,2020-10-20,15:00,Beijing Ducks,ZJ Gold Bulls,75,92,İY 32-48
86,2020-10-20,18:30,BC Juventus Utena,BC Sūduva,89,68,İY 41-36
87,2020-10-20,20:00,Zadar,Skrljevo,99,68,İY 53-33
88,2020-10-20,01:30,Paulistano,Corinthians,83,63,İY 36-27
89,2020-10-20,20:30,BC Balkan Botevgrad II,Hebar,63,92,İY 42-55
90,2020-10-20,13:00,Fukushima FB,Earthfriends,90,85,İY 48-34
91,2020-10-20,20:00,KK Sencur,Nova Gorica,93,62,İY 55-22
92,2020-10-19,22:00,SIG Basket Strasbourg,Boulazac,100,84,İY 51-45
93,2020-10-19,19:30,BC Khimki,BC Astana,88,89,İY 45-49
94,2020-10-19,19:00,Zadar,Krka,70,73,İY 34-37
95,2020-10-19,14:35,LF Leopards,Tianjin,121,108,İY 69-44
96,2020-10-19,15:00,BF Dragons,SD Tigers,83,99,İY 39-56
97,2020-10-19,19:00,Cibona,Osijek,102,70,İY 48-35
98,2020-10-19,13:00,Goyang Orions,LG Sakers,85,77,İY 37-39
99,2020-10-19,13:00,Fukushima FB,Earthfriends,71,68,İY 37-32
100,2020-10-19,13:00,Avtodor U21,Khimki U21,78,77,İY 35-37
101,2020-10-19,17:00,Spartak M. (K),UMMC (K),46,118,İY 22-55
102,2020-10-18,13:00,Anadolu Efes Spor Kulübü,Bahçeşehir Koleji Spor Kulübü,89,66,İY 50-32
103,2020-10-18,15:15,Gaziantep BB,Fenerbahçe,59,65,İY 28-41
104,2020-10-18,17:30,Türk Telekom Basketbol Kulübü,Büyükçekmece,95,89,İY 40-41
105,2020-10-18,20:00,Beşiktaş,OGM Orman Spor Kulübü,85,91,İY 41-43
