,date,start_time,team1,team2,team1_score,team2_score,first_half_score
0,2020-12-11,20:00,BC Khimki,PBK CSKA Moskva,87,96,İY 43-52
1,2020-12-11,22:00,Panathinaikos BC Superfoods,BC Žalgiris Kaunas,69,81,İY 33-43
2,2020-12-11,22:30,FC Bayern München,Asvel,76,62,İY 42-25
3,2020-12-11,23:00,FC Barcelona Lassa Bàsquet,Olimpia Milano,87,71,İY 39-43
4,2020-12-11,21:00,KK Budućnost VOLI,Levallois,71,73,İY 38-41
5,2020-12-11,20:30,BC MoraBanc Andorra,Zaragoza,83,98,İY 46-55
6,2020-12-11,20:30,Rasta Vechta,Telekom Basket,69,80,İY 43-40
7,2020-12-11,00:00,Bulls,Mercyhurst Lakers,81,64,İY 50-29
8,2020-12-11,01:00,East Carolina,North Florida,73,67,İY 40-38
9,2020-12-11,01:00,Jacksonville,Privateers,77,70,İY 37-33
10,2020-12-11,02:00,Pirates,Royals,,,
11,2020-12-11,02:00,Gamecocks,Terriers,,,
12,2020-12-11,02:00,Eagles,Pioneers,81,55,İY 38-27
13,2020-12-11,02:30,Coyotes,Hawks,71,75,İY 29-35
14,2020-12-11,03:00,Eagles,Spartans,85,80,İY 35-35
15,2020-12-11,03:00,EK Colonels,Boyce Bulldogs,,,
16,2020-12-11,03:00,Lions,Trojans,57,62,İY 25-38
17,2020-12-11,03:00,Stetson,Florida College Falcons,,,
18,2020-12-11,03:30,Bearkats,Yellowjackets,107,65,İY 50-29
19,2020-12-11,04:00,N. Arizona,UC Riverside,50,74,İY 16-43
20,2020-12-11,04:00,Rebels,Tigers,80,45,İY 41-12
21,2020-12-11,04:00,Hilltoppers,Gardner-Webb,86,84,İY 40-43
22,2020-12-11,04:00,Beavers,Pilots,86,87,İY 29-36
23,2020-12-11,04:00,Colonels,Campbellsville,,,
24,2020-12-11,04:00,Golden Gophers,Kangaroos,90,61,İY 43-31
25,2020-12-11,04:00,Islanders,Vaqueros,64,68,İY 34-35
26,2020-12-11,05:00,Bulldogs,Jaguars,,,
27,2020-12-11,05:00,Dons,Long Beach,107,62,İY 44-25
28,2020-12-11,05:00,Jackrabbits,Bison,77,75,İY 33-26
29,2020-12-11,05:00,Lancers,Braves,,,
30,2020-12-11,06:00,Sun Devils,Aztecs,68,80,İY 33-35
31,2020-12-11,21:30,Massachusetts,Northeastern,94,79,İY 47-36
32,2020-12-11,23:00,West Virginia,Mean Green,62,50,İY 21-29
33,2020-12-11,18:00,Nazilli,Başkent Yenişehir,76,59,İY 33-29
34,2020-12-11,22:00,Split,Krka,78,80,İY 32-40
35,2020-12-11,19:30,D. Gornicza,Wilki Morskie,89,93,İY 48-45
36,2020-12-11,19:35,Stal Ostrow,KK Anwil,88,79,İY 38-37
37,2020-12-11,21:30,Polski Torun,Gliwice,78,65,İY 31-37
38,2020-12-11,23:00,Caceres,Leyma Coruna,71,78,İY 32-40
39,2020-12-11,22:00,Wolves,Man Giants,84,76,İY 43-39
40,2020-12-11,22:30,Lions,Raiders,101,95,İY 51-49
41,2020-12-11,23:00,Riders,Sharks,74,64,İY 32-35
42,2020-12-11,22:00,Vichy Clermont,Hermine,81,83,İY 54-37
43,2020-12-11,22:00,Blois 41,Aix Maurienne,83,65,İY 47-34
44,2020-12-11,22:00,Fos Provence,S'weyersheim,72,66,İY 48-31
45,2020-12-11,22:00,Lille BC,Saint Chamond,92,83,İY 44-39
46,2020-12-11,06:00,GZ Long-Lions,SD Tigers,94,111,İY 40-47
47,2020-12-11,07:30,LF Leopards,BF Dragons,122,108,İY 55-52
48,2020-12-11,10:30,QD Eagles,Tongxi King,116,95,İY 55-43
49,2020-12-11,14:35,JS Dragons,Tianjin,110,106,İY 56-60
50,2020-12-11,15:00,Jilin Tigers,Xinjiang Tiger,90,97,İY 44-45
51,2020-12-11,01:00,I. Atletico Central Cordoba,Hispano,97,95,İY 43-35
52,2020-12-11,01:00,Regatas,Bahia,86,82,İY 36-44
53,2020-12-11,03:30,Quimsa,Platense,80,65,İY 41-28
54,2020-12-11,03:30,Corrientes,Almagro,52,61,İY 21-36
55,2020-12-11,17:00,Obras,Comunicaciones,49,82,İY 27-38
56,2020-12-11,20:00,Penarol,Olimpico,66,80,İY 32-36
57,2020-12-11,20:00,Almagro,Libertad,78,73,İY 38-36
58,2020-12-11,22:30,Arjantin,La Union,92,86,İY 40-45
59,2020-12-11,22:30,Platense,I. Atletico Central Cordoba,73,71,İY 35-24
60,2020-12-11,02:00,Flamengo,Paulistano,104,76,İY 54-40
61,2020-12-11,20:30,Cruzes,Unifacisa,98,91,İY 47-37
62,2020-12-11,23:30,Pinheiros/SKY,Caxias,79,72,İY 37-34
63,2020-12-11,19:00,Gorica,Zabok,90,68,İY 45-33
64,2020-12-11,21:00,St. Pölten,Dukes,91,86,İY 41-41
65,2020-12-11,20:00,RSK Tarvas,TTÜ,70,79,İY 37-43
66,2020-12-11,18:00,Rubon,Grodno-93,79,98,İY 35-56
67,2020-12-11,21:00,L. Trutnov (K),Slovanka (K),62,70,İY 39-32
68,2020-12-11,19:30,Audentes,Rae Koss/Hansaviimistlus,70,89,İY 40-52
69,2020-12-11,19:30,Tartu Kalev,Maaülikooli,92,73,İY 43-30
70,2020-12-11,21:15,Paide Viking,BC Kadrina Karud,76,90,İY 36-48
71,2020-12-11,13:00,Anyang KGC,Ulsan,89,84,İY 52-41
72,2020-12-11,21:04,Nassjö,Jamtland,70,67,İY 36-38
73,2020-12-11,21:04,Norrköping,Södertalje,57,89,İY 40-42
74,2020-12-11,21:04,Umea BBK,Boras,76,98,İY 38-47
75,2020-12-11,19:00,Kibirkstis (K),Aistes LSU (K),46,81,İY 19-44
76,2020-12-11,23:30,GRIB Escondnovoengenho,Illiabum Clube B,72,91,İY 34-49
77,2020-12-11,22:30,Ovarense,Imortal,59,84,İY 32-45
78,2020-12-11,23:30,Barreirense,Galitos FC,72,85,İY 39-36
79,2020-12-11,23:30,Vitoria,Maia,88,74,İY 36-38
80,2020-12-11,23:30,Esgueira (K),Ovarense (K),83,33,İY 46-20
81,2020-12-11,16:00,Dynamo Stavro,Dynamo MGTU,60,89,İY 32-43
82,2020-12-11,17:00,BC Chelbasket,Magnitogorsk,70,80,İY 37-38
83,2020-12-11,18:00,BC MitsuBasket Lipetsk,Tambov,63,71,İY 34-41
84,2020-12-11,15:00,Shakhty (K),UMMC Yeka. (K),72,54,İY 35-29
85,2020-12-11,18:30,Moskova II (K),Petersburg (K),74,78,İY 38-41
86,2020-12-11,19:00,Rostov Don (K),Neftyanik (K),84,55,İY 48-35
